"last_name, first_name","player_id","year","player_age","p_formatted_ip","hit","home_run","strikeout","walk","p_earned_run","p_era"
"Luzardo, Jesús",666200,2023,25,"178.2",162,22,208,55,"71","3.58"
"Gallen, Zac",668678,2023,27,"210.0",188,22,220,47,"81","3.47"
"Burnes, Corbin",669203,2023,28,"193.2",141,22,200,66,"73","3.39"
"Gilbert, Logan",669302,2023,26,"190.2",169,29,189,36,"79","3.73"
"Kirby, George",669923,2023,25,"190.2",179,22,172,19,"71","3.35"
"Oviedo, Johan",670912,2023,25,"177.2",161,19,158,83,"85","4.31"
"Senga, Kodai",673540,2023,30,"166.1",126,17,202,77,"55","2.98"
"Strider, Spencer",675911,2023,24,"186.2",146,22,281,58,"80","3.86"
"Sears, JP",676664,2023,27,"172.1",165,34,161,53,"87","4.54"
"Morton, Charlie",450203,2024,40,"165.1",154,23,167,65,"77","4.19"
"Quintana, Jose",500779,2024,35,"170.1",150,22,135,63,"71","3.75"
"Anderson, Tyler",542881,2024,34,"179.1",158,24,142,73,"76","3.81"
"Gray, Sonny",543243,2024,34,"166.1",142,21,203,39,"71","3.84"
"Wheeler, Zack",554430,2024,34,"200.0",139,20,224,52,"57","2.57"
"Bassitt, Chris",605135,2024,35,"171.0",180,18,168,70,"79","4.16"
"Nola, Aaron",605400,2024,31,"199.1",189,30,197,50,"79","3.57"
"Rodón, Carlos",607074,2024,31,"175.0",157,31,195,57,"77","3.96"
"Fedde, Erick",607200,2024,31,"177.1",154,20,154,52,"65","3.30"
"Lugo, Seth",607625,2024,34,"206.2",177,16,181,48,"69","3.00"
"Fried, Max",608331,2024,30,"174.1",146,13,166,57,"63","3.25"
"Castillo, Luis",622491,2024,31,"175.1",158,25,175,47,"71","3.64"
"Severino, Luis",622663,2024,30,"182.0",166,23,161,60,"79","3.91"
"Manaea, Sean",640455,2024,32,"181.2",134,21,184,63,"70","3.47"
"Cortes, Nestor",641482,2024,29,"174.1",162,24,162,39,"73","3.77"
"Canning, Griffin",656288,2024,28,"171.2",174,31,130,66,"99","5.19"
"Cease, Dylan",656302,2024,28,"189.1",137,18,224,65,"73","3.47"
"Webb, Logan",657277,2024,27,"204.2",202,11,172,50,"79","3.47"
"Singer, Brady",663903,2024,27,"179.2",175,22,170,54,"74","3.71"
"Ragans, Cole",666142,2024,26,"186.1",146,15,223,67,"65","3.14"
"Burnes, Corbin",669203,2024,29,"194.1",165,22,181,48,"63","2.92"
"Gilbert, Logan",669302,2024,27,"208.2",148,26,220,37,"75","3.23"
"Kirby, George",669923,2024,26,"191.0",181,22,179,23,"75","3.53"
"Bibee, Tanner",676440,2024,25,"173.2",150,22,187,44,"67","3.47"
"Sears, JP",676664,2024,28,"180.2",172,28,137,49,"88","4.38"
"Brown, Hunter",686613,2024,25,"170.0",156,18,179,60,"66","3.49"
"Pfaadt, Brandon",694297,2024,25,"181.2",183,24,185,42,"95","4.71"
"Gray, Sonny",543243,2025,35,"180.2",185,25,201,38,"86","4.28"
"Boyd, Matthew",571510,2025,34,"179.2",154,19,154,42,"64","3.21"
"deGrom, Jacob",594798,2025,37,"172.2",122,26,185,37,"57","2.97"
"Pivetta, Nick",601713,2025,32,"181.2",129,22,190,50,"58","2.87"
"Bassitt, Chris",605135,2025,36,"170.1",174,22,166,52,"75","3.96"
"Holmes, Clay",605280,2025,32,"165.2",150,14,129,66,"65","3.53"
"Rodón, Carlos",607074,2025,32,"195.1",132,22,203,73,"67","3.09"
"Fried, Max",608331,2025,31,"195.1",164,14,189,51,"62","2.86"
"Castillo, Luis",622491,2025,32,"180.2",168,23,162,46,"71","3.54"
"Severino, Luis",622663,2025,31,"162.2",162,16,124,50,"82","4.54"
"Cease, Dylan",656302,2025,29,"168.0",152,21,215,71,"85","4.55"
"Webb, Logan",657277,2025,28,"207.0",210,14,224,46,"74","3.22"
"Singer, Brady",663903,2025,28,"169.2",150,19,163,60,"76","4.03"
"Luzardo, Jesús",666200,2025,27,"183.2",167,16,216,57,"80","3.92"
"Gallen, Zac",668678,2025,29,"192.0",176,31,175,66,"103","4.83"
"Bibee, Tanner",676440,2025,26,"182.1",170,27,162,54,"86","4.24"
"Crochet, Garrett",676979,2025,26,"205.1",165,24,255,46,"59","2.59"
"Parker, Mitchell",680730,2025,25,"164.2",178,25,103,58,"104","5.68"
"Brown, Hunter",686613,2025,26,"185.1",133,17,206,57,"50","2.43"
"Pepiot, Ryan",686752,2025,27,"167.2",134,26,167,61,"72","3.86"
"Woo, Bryan",693433,2025,25,"186.2",137,26,198,36,"61","2.94"
"Pfaadt, Brandon",694297,2025,26,"176.2",198,26,147,37,"103","5.25"
