Player,Team,PA,BA,OBP,SLG,OPS,HR,SB,ISO,HR_rate,GAP_rate,SB_rate,BB_rate,SO_rate,Cluster,Hitter_Type
Josh Rojas,CHW,211.0,0.18,0.252,0.259,0.512,2.0,4.0,0.079,0.0094786729857819,0.0426540284360189,0.0189573459715639,0.0900473933649289,0.2274881516587677,0,저타율·저장타형
Rob Refsnyder,BOS,209.0,0.269,0.354,0.484,0.838,9.0,3.0,0.2149999999999999,0.0430622009569378,0.0574162679425837,0.0143540669856459,0.1148325358851674,0.2583732057416268,1,거포형
Tyler O'Neill,BAL,209.0,0.199,0.292,0.392,0.684,9.0,4.0,0.193,0.0430622009569378,0.0334928229665071,0.0191387559808612,0.1052631578947368,0.2440191387559808,3,저타율 장타형
Nacho Alvarez Jr.,ATL,208.0,0.234,0.296,0.33,0.626,2.0,0.0,0.096,0.0096153846153846,0.0576923076923076,0.0,0.0576923076923076,0.235576923076923,0,저타율·저장타형
Paul DeJong,WSN,208.0,0.228,0.269,0.373,0.642,6.0,4.0,0.145,0.0288461538461538,0.048076923076923,0.0192307692307692,0.0528846153846153,0.3365384615384615,3,저타율 장타형
Edouard Julien,MIN,208.0,0.22,0.309,0.324,0.633,3.0,0.0,0.104,0.0144230769230769,0.048076923076923,0.0,0.1057692307692307,0.2932692307692308,0,저타율·저장타형
Luke Keaschall,MIN,207.0,0.302,0.382,0.445,0.827,4.0,14.0,0.143,0.0193236714975845,0.0676328502415458,0.0676328502415458,0.0917874396135265,0.1400966183574879,2,교타·스피드형
Ryan Ritter,COL,207.0,0.241,0.296,0.337,0.632,1.0,3.0,0.096,0.0048309178743961,0.0579710144927536,0.0144927536231884,0.0483091787439613,0.2946859903381642,0,저타율·저장타형
Robert Hassell III,WSN,206.0,0.223,0.257,0.315,0.572,3.0,4.0,0.092,0.0145631067961165,0.0436893203883495,0.0194174757281553,0.0388349514563106,0.3009708737864077,0,저타율·저장타형
Masataka Yoshida,BOS,205.0,0.266,0.307,0.388,0.696,4.0,3.0,0.122,0.0195121951219512,0.0536585365853658,0.0146341463414634,0.048780487804878,0.1170731707317073,2,교타·스피드형
Jos? Herrera,ARI,204.0,0.187,0.285,0.259,0.544,2.0,0.0,0.072,0.0098039215686274,0.0294117647058823,0.0,0.1127450980392156,0.230392156862745,0,저타율·저장타형
